Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,240-4s,N/A,N/A,"12,025.00",220-0,Put,0-1s,N/A,N/A,6.25
Call,230-4s,N/A,N/A,"11,525.00",230-0,Put,0-1s,N/A,N/A,6.25
Call,220-4s,N/A,N/A,"11,025.00",240-0,Put,0-1s,N/A,N/A,6.25
Call,210-4s,N/A,N/A,"10,525.00",250-0,Put,0-1s,N/A,154,6.25
Call,200-4s,N/A,N/A,"10,025.00",260-0,Put,0-1s,N/A,N/A,6.25
Call,190-4s,N/A,N/A,"9,525.00",270-0,Put,0-1s,N/A,100,6.25
Call,180-4s,N/A,N/A,"9,025.00",280-0,Put,0-1s,N/A,110,6.25
Call,170-4s,N/A,N/A,"8,525.00",290-0,Put,0-1s,N/A,"1,282",6.25
Call,160-4s,N/A,N/A,"8,025.00",300-0,Put,0-1s,N/A,"1,929",6.25
Call,150-4s,N/A,N/A,"7,525.00",310-0,Put,0-1s,N/A,"8,253",6.25
Call,140-4s,N/A,N/A,"7,025.00",320-0,Put,0-1s,N/A,900,6.25
Call,130-4s,N/A,N/A,"6,525.00",330-0,Put,0-1s,N/A,401,6.25
Call,120-4s,N/A,N/A,"6,025.00",340-0,Put,0-1s,N/A,"1,489",6.25
Call,110-4s,N/A,N/A,"5,525.00",350-0,Put,0-2s,N/A,"1,224",12.50
Call,100-5s,N/A,31,"5,031.25",360-0,Put,0-4s,67,"3,997",25.00
Call,95-5s,N/A,N/A,"4,781.25",365-0,Put,0-4s,N/A,201,25.00
Call,90-6s,N/A,1,"4,537.50",370-0,Put,0-5s,N/A,"1,052",31.25
Call,85-7s,N/A,N/A,"4,293.75",375-0,Put,0-6s,N/A,"4,652",37.50
Call,81-0s,850,"1,612","4,050.00",380-0,Put,0-7s,N/A,"4,424",43.75
Call,76-2s,N/A,42,"3,812.50",385-0,Put,1-0s,5,"1,333",50.00
Call,71-3s,N/A,34,"3,568.75",390-0,Put,1-3s,10,"2,188",68.75
Call,66-6s,N/A,1,"3,337.50",395-0,Put,1-5s,N/A,"2,694",81.25
Call,62-1s,N/A,291,"3,106.25",400-0,Put,2-0s,731,"17,062",100.00
Call,57-4s,N/A,N/A,"2,875.00",405-0,Put,2-4s,47,"3,585",125.00
Call,53-1s,N/A,103,"2,656.25",410-0,Put,3-0s,"2,450","22,981",150.00
Call,48-6s,N/A,43,"2,437.50",415-0,Put,3-6s,"2,030","5,889",187.50
Call,44-5s,27,"1,050","2,231.25",420-0,Put,4-3s,"1,391","33,449",218.75
Call,40-5s,N/A,540,"2,031.25",425-0,Put,5-4s,83,"8,817",275.00
Call,36-7s,37,"2,717","1,843.75",430-0,Put,6-7s,"1,605","23,097",343.75
Call,33-2s,21,"1,316","1,662.50",435-0,Put,8-2s,82,"14,242",412.50
Call,29-2s,65,"7,189","1,462.50",440-0,Put,9-6s,"1,050","26,194",487.50
Call,27-0s,144,"1,259","1,350.00",445-0,Put,12-0s,52,"9,130",600.00
Call,24-0s,116,"17,732","1,200.00",450-0,Put,14-0s,"1,501","30,788",700.00
Call,21-6s,42,"3,637","1,087.50",455-0,Put,16-1s,74,"11,841",806.25
Call,19-2s,"3,654","21,172",962.50,460-0,Put,19-0s,"3,817","16,592",950.00
Call,16-6s,270,"3,617",837.50,465-0,Put,22-4s,35,"6,191","1,125.00"
Call,15-2s,"3,060","24,647",762.50,470-0,Put,25-4s,788,"20,254","1,275.00"
Call,13-2s,186,"11,659",662.50,475-0,Put,28-0s,14,"5,139","1,400.00"
Call,11-4s,"1,316","37,264",575.00,480-0,Put,31-4s,225,"11,221","1,575.00"
Call,10-3s,325,"7,202",518.75,485-0,Put,34-5s,39,"2,294","1,731.25"
Call,9-2s,998,"63,135",462.50,490-0,Put,39-1s,134,"10,213","1,956.25"
Call,8-2s,"1,029","7,757",412.50,495-0,Put,42-3s,7,"1,393","2,118.75"
Call,7-4s,"1,689","56,289",375.00,500-0,Put,47-0s,9,"3,597","2,350.00"
Call,7-3s,15,"4,113",368.75,505-0,Put,50-6s,N/A,612,"2,537.50"
Call,5-6s,387,"12,734",287.50,510-0,Put,56-6s,1,"1,337","2,837.50"
Call,5-1s,120,"3,202",256.25,515-0,Put,59-3s,N/A,284,"2,968.75"
Call,4-6s,"2,836","19,854",237.50,520-0,Put,63-6s,2,391,"3,187.50"
Call,4-2s,314,"6,661",212.50,525-0,Put,68-2s,N/A,178,"3,412.50"
Call,3-6s,29,"88,760",187.50,530-0,Put,72-6s,N/A,"1,642","3,637.50"
Call,3-3s,132,"7,340",168.75,535-0,Put,77-3s,N/A,80,"3,868.75"
Call,3-1s,"1,045","12,338",156.25,540-0,Put,82-1s,N/A,52,"4,106.25"
Call,2-7s,7,"3,542",143.75,545-0,Put,86-6s,N/A,9,"4,337.50"
Call,2-5s,"2,522","44,077",131.25,550-0,Put,91-4s,N/A,80,"4,575.00"
Call,2-2s,16,"1,649",112.50,555-0,Put,96-2s,N/A,5,"4,812.50"
Call,2-2s,"2,021","12,441",112.50,560-0,Put,101-1s,N/A,54,"5,056.25"
Call,2-0s,N/A,"1,363",100.00,565-0,Put,105-7s,N/A,27,"5,293.75"
Call,1-7s,13,"9,267",93.75,570-0,Put,110-6s,N/A,74,"5,537.50"
Call,1-5s,18,"6,967",81.25,580-0,Put,120-3s,N/A,36,"6,018.75"
Call,1-3s,33,"2,916",68.75,590-0,Put,130-2s,N/A,34,"6,512.50"
Call,1-2s,"2,454","18,648",62.50,600-0,Put,140-0s,N/A,31,"7,000.00"
Call,1-0s,5,"4,060",50.00,610-0,Put,149-7s,N/A,54,"7,493.75"
Call,0-7s,N/A,"1,840",43.75,620-0,Put,159-6s,N/A,5,"7,987.50"
Call,0-7s,N/A,"2,908",43.75,630-0,Put,169-5s,N/A,1,"8,481.25"
Call,0-6s,N/A,836,37.50,640-0,Put,179-5s,N/A,2,"8,981.25"
Call,0-5s,N/A,"9,063",31.25,650-0,Put,189-4s,N/A,N/A,"9,475.00"
Call,0-5s,N/A,403,31.25,660-0,Put,199-4s,N/A,N/A,"9,975.00"
Call,0-5s,N/A,283,31.25,670-0,Put,209-4s,N/A,N/A,"10,475.00"
Call,0-4s,N/A,713,25.00,680-0,Put,219-4s,N/A,N/A,"10,975.00"
Call,0-4s,N/A,"4,865",25.00,690-0,Put,229-4s,N/A,N/A,"11,475.00"
Call,0-4s,N/A,"3,519",25.00,700-0,Put,239-4s,N/A,N/A,"11,975.00"
Call,0-4s,N/A,349,25.00,710-0,Put,249-4s,N/A,N/A,"12,475.00"
Call,0-3s,N/A,390,18.75,720-0,Put,259-4s,N/A,N/A,"12,975.00"
Call,0-3s,N/A,530,18.75,730-0,Put,269-4s,N/A,N/A,"13,475.00"
Call,0-3s,N/A,"2,965",18.75,740-0,Put,279-4s,N/A,N/A,"13,975.00"
Call,0-3s,N/A,593,18.75,750-0,Put,289-4s,N/A,N/A,"14,475.00"
Call,0-3s,N/A,202,18.75,760-0,Put,299-4s,N/A,N/A,"14,975.00"
Call,0-2s,N/A,"1,355",12.50,800-0,Put,339-4s,N/A,N/A,"16,975.00"
Call,0-1s,N/A,"4,253",6.25,850-0,Put,389-4s,N/A,N/A,"19,475.00"
